SPECIES;ACCESION.NUMBER;PLM ;PLS;FTWM;FTWS;STWM;STWS;LLM;LLS;FTLM;FTLS;STLM;STLS;MLWM;MLWS;WMPM;WMPS;DLBMWM;DLBMWS;DLAUM;DLAUS;TLWM;TLWS;NTM;NTS
V.tenuifolia fontqueri;SALA95041;56;0;74;46;80;62;1118;935;169;161;103;126;422;387;357;182;518;415;343;411;212;117;233;300
V.tenuifolia fontqueri;MA389465(1);0;0;0.76;0.55;1.03;0;11.97;11.6;0.74;0.42;1.17;0;4.19;1.79;3.62;1.46;5.46;7.7;3.09;3.57;2.71;1.38;3;1
V.tenuifolia fontqueri;MA389465(2);0;;0.41;;0.63;;7.02;;0.6;;1.01;;3.14;;2.85;;3.7;;1.64;;1.5;;2;
V.tenuifolia fontqueri;MA389465;0;0;59;55;83;0;950;1160;67;42;109;0;367;179;324;146;458;770;237;357;211;138;250;100
V.tenuifolia fontqueri;GDA26404(1);1.08;0;0.66;0.44;0.6;0.64;13.07;12.49;1.57;0.75;1.15;0.41;3.56;2.43;3.31;1.95;9.89;8.38;2.45;3.74;1.52;1.41;4;3
V.tenuifolia fontqueri;GDA26404(2);0;0;0.52;0.79;0.63;0.6;12.72;12.51;1.27;1.39;1.31;1.14;4.14;3.14;3.52;2.53;8.22;8.74;3.93;2.03;1.83;1.27;4;4
V.tenuifolia fontqueri;GDA26404(3);0;0;0.95;0.94;0.86;0.58;13.93;11.31;0.64;0.95;0.71;1.33;4.52;2.57;3.19;2.18;10.97;4.46;1.73;1.8;1.84;1.25;4;3
V.tenuifolia fontqueri;GDA26404;36;0;71;72;70;61;1324;1210;116;103;106;96;407;271;334;222;969;719;270;252;173;131;400;333
V.tenuifolia fontqueri;MGC46659(1);0;0;0.7;0.67;0.89;1.26;14.16;12.65;1.26;0.83;1.63;0.71;5.45;2.19;2.8;1.67;5.18;4.92;2.5;2.01;1.75;0.96;4;3
V.tenuifolia fontqueri;MGC46659(2);0;0;0.87;0.28;0.77;0.73;11.66;11.14;0.48;0.27;0.77;0.88;4.7;2.04;4.7;2.01;5.75;6.33;1.9;4.28;1.51;1.46;6;2
V.tenuifolia fontqueri;MGC46659(3);0;0;0.79;0.8;1.57;0.68;13.56;13.78;1.38;1.46;1.87;1.4;4.87;3.53;4.57;1.76;7.32;8.77;2.12;3.16;1.09;1.4;3;2
V.tenuifolia fontqueri;MGC46659;0;0;79;58;108;89;1313;1252;104;85;142;100;501;259;402;181;608;667;217;315;145;127;433;233
